scheduleId,tenantId,admin_pk,customer_id,customer_name,title,integration,patrolType,scheduleCameraCount,siteCameraCount,verdict,immix_code_at_scan,immix_status_at_scan,createdDate,updatedDate,disabledAt,disabledBy
ff1d998e-416e-431b-4f93-08ddfc56029c,dfda7621-f1d3-4469-b6df-dea988fd81a9,193,36799,Site A,Raise,VCH,VisualCameraHealth,3,42,gone_explicit,200,Deleted,2025-09-28T17:18:27,2026-04-24T19:35:09,2026-04-24T19:34:32,cleanup_lambda
7e5f4319-4747-400a-4fb3-08ddfc56029c,74cf336c-f671-45ad-ba7b-193d4f2540f1,194,38380,Andrew's Test Site - DO NOT DELETE,Vch test 1,VCH,VisualCameraHealth,14,14,gone_explicit,200,Deleted,2025-09-30T15:26:03,2026-04-24T19:34:37,2026-04-24T19:34:32,cleanup_lambda
938441e3-c339-4138-4fb4-08ddfc56029c,74cf336c-f671-45ad-ba7b-193d4f2540f1,195,38380,Andrew's Test Site - DO NOT DELETE,asdf,AutoPatrol,AutoPatrol,14,14,gone_explicit,200,Deleted,2025-09-30T15:31:49,2026-04-24T19:34:36,2026-04-24T19:34:32,cleanup_lambda
abfd214c-ca64-4d3c-e282-08de0670527f,74cf336c-f671-45ad-ba7b-193d4f2540f1,204,38578,9 Dibble Street,VCH Check,VCH,VisualCameraHealth,4,4,gone_400,400,(err),2025-10-08T14:35:19,2026-04-24T19:34:35,2026-04-24T19:34:32,cleanup_lambda
ff963f83-b509-4ca3-6a50-08de07409dfa,be2da6ac-850e-4685-a874-d1e0c4b9e6f9,213,39221,Victoria - EE Demo,Test,VCH,VisualCameraHealth,2,2,gone_explicit,200,Deleted,2025-10-30T15:05:14,2026-04-24T19:35:13,2026-04-24T19:34:32,cleanup_lambda
05f2730c-cd34-44ca-6a4f-08de07409dfa,be2da6ac-850e-4685-a874-d1e0c4b9e6f9,214,39221,Victoria - EE Demo,NewT,VCH,VisualCameraHealth,2,2,gone_explicit,200,Deleted,2025-10-30T15:05:40,2026-04-24T19:35:13,2026-04-24T19:34:32,cleanup_lambda
a13d25c9-98ec-49b5-6a4e-08de07409dfa,be2da6ac-850e-4685-a874-d1e0c4b9e6f9,215,39221,Victoria - EE Demo,test1,VCH,VisualCameraHealth,2,2,gone_explicit,200,Deleted,2025-10-30T15:05:41,2026-04-24T19:35:13,2026-04-24T19:34:32,cleanup_lambda
28d0aedc-7aac-48b7-6a4d-08de07409dfa,be2da6ac-850e-4685-a874-d1e0c4b9e6f9,216,39221,Victoria - EE Demo,test1,VCH,VisualCameraHealth,2,2,gone_explicit,200,Deleted,2025-10-30T15:05:42,2026-04-24T19:35:14,2026-04-24T19:34:32,cleanup_lambda
c40b2017-0f28-4793-c525-08de1b193ea0,dfda7621-f1d3-4469-b6df-dea988fd81a9,220,39381,4.1 Test Legacy Sch 3,VCH - RL,VCH,VisualCameraHealth,3,3,gone_explicit,200,Deleted,2025-11-04T15:30:23,2026-04-24T19:34:34,2026-04-24T19:34:32,cleanup_lambda
a13faadc-c009-4542-c532-08de1b193ea0,47dc2c1f-5c19-43fb-b5d5-753c5e96eb14,232,39417,axis site - subsite,VCH 1,VCH,VisualCameraHealth,0,0,gone_400,400,(err),2025-11-05T14:55:38,2026-04-24T19:34:39,2026-04-24T19:34:32,cleanup_lambda
2a6916e9-e359-46f7-c531-08de1b193ea0,47dc2c1f-5c19-43fb-b5d5-753c5e96eb14,233,39417,axis site - subsite,VCH 11-4,VCH,VisualCameraHealth,0,0,gone_400,400,(err),2025-11-05T14:55:39,2026-04-24T19:34:39,2026-04-24T19:34:32,cleanup_lambda
1e2ee05f-f1f0-46da-c535-08de1b193ea0,47dc2c1f-5c19-43fb-b5d5-753c5e96eb14,234,39418,Axis site (1),action - to verify height,VCH,VisualCameraHealth,1,1,gone_400,400,(err),2025-11-05T15:10:25,2026-04-24T19:34:38,2026-04-24T19:34:32,cleanup_lambda
636be1ba-57c9-4da1-c534-08de1b193ea0,47dc2c1f-5c19-43fb-b5d5-753c5e96eb14,235,39418,Axis site (1),test,VCH,VisualCameraHealth,1,1,gone_400,400,(err),2025-11-05T15:10:26,2026-04-24T19:34:38,2026-04-24T19:34:32,cleanup_lambda
5a16a0fe-ef78-4279-c533-08de1b193ea0,47dc2c1f-5c19-43fb-b5d5-753c5e96eb14,236,39419,Testing site,test,VCH,VisualCameraHealth,0,0,gone_400,400,(err),2025-11-05T15:10:27,2026-04-24T19:35:10,2026-04-24T19:34:32,cleanup_lambda
8e8cb174-8f38-4943-c53a-08de1b193ea0,be2da6ac-850e-4685-a874-d1e0c4b9e6f9,239,39453,ECS Coffee - Etobicoke,VCH,VCH,VisualCameraHealth,2,2,gone_400,400,(err),2025-11-06T19:45:23,2026-04-24T19:34:43,2026-04-24T19:34:32,cleanup_lambda
8a500667-45b7-42f5-c539-08de1b193ea0,be2da6ac-850e-4685-a874-d1e0c4b9e6f9,240,39455,"ECS Coffee - 3100 Harvester Rd, Burlington",VCH,VCH,VisualCameraHealth,4,4,gone_explicit,200,Deleted,2025-11-06T19:45:24,2026-04-24T19:34:43,2026-04-24T19:34:32,cleanup_lambda
8ad5672f-649c-4054-c544-08de1b193ea0,dfda7621-f1d3-4469-b6df-dea988fd81a9,250,38313,Lab Audio,Test AP 3 Actuate,AutoPatrol,AutoPatrol,2,4,gone_explicit,200,Deleted,2025-11-20T17:06:48,2026-04-24T19:34:57,2026-04-24T19:34:32,cleanup_lambda
31391dcb-52e2-4f45-133b-08de33786521,dfda7621-f1d3-4469-b6df-dea988fd81a9,256,36799,Site A,asdf,AutoPatrol,AutoPatrol,41,42,gone_explicit,200,Deleted,2025-12-09T15:33:02,2026-04-24T19:35:08,2026-04-24T19:34:32,cleanup_lambda
f1f30a00-9a90-4884-133c-08de33786521,dfda7621-f1d3-4469-b6df-dea988fd81a9,257,37325,Site 3,VCH Demo,VCH,VisualCameraHealth,5,7,gone_explicit,200,Deleted,2025-12-09T16:51:40,2026-04-24T19:35:06,2026-04-24T19:34:32,cleanup_lambda
140e67cc-de3e-438f-49eb-08de4f8a91c4,dfda7621-f1d3-4469-b6df-dea988fd81a9,341,35829,Site 1,test,AutoPatrol,AutoPatrol,100,100,gone_explicit,200,Deleted,2026-01-14T17:30:39,2026-04-24T19:35:03,2026-04-24T19:34:32,cleanup_lambda
a3ade835-c449-491f-49ea-08de4f8a91c4,dfda7621-f1d3-4469-b6df-dea988fd81a9,344,36799,Site A,test,AutoPatrol,AutoPatrol,41,42,gone_explicit,200,Deleted,2026-01-20T13:55:28,2026-04-24T19:35:09,2026-04-24T19:34:32,cleanup_lambda
2cd94340-4b88-45aa-63a1-08de68121368,4e352315-7c11-42ef-9d88-8713176e1948,352,42376,Journey Juice (2),JJ patrol,AutoPatrol,AutoPatrol,4,4,gone_explicit,200,Deleted,2026-02-10T20:52:13,2026-04-24T19:34:55,2026-04-24T19:34:32,cleanup_lambda
